Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,PGN,WhiteTitle,FEN,SetUp
Rated Classical game,https://lichess.org/1y3WMSYU,2018.11.14,-,andres0001,HushPuppies,1-0,2018.11.14,04:45:06,1656,1589,+8,-35,Standard,1800+15,B25,Normal,1. e4 c5 2. Nc3 Nc6 3. Bb5 Nf6 4. Bxc6 bxc6 5. f4 Qc7 6. d3 g6 7. Nf3 Bg7 8. O-O O-O 9. Qe1 e6 10. Qh4 Nh5 11. e5 d6 12. g4 Nxf4 13. Bxf4 dxe5 14. Bh6 Qd8 15. Qxd8 Rxd8 16. Bxg7 Kxg7 17. Nxe5 1-0,,,
Rated Rapid game,https://lichess.org/C6mrqhcc,2018.11.14,-,sennheisermx,HushPuppies,0-1,2018.11.14,04:07:18,1152,1126,-11,+11,Standard,600+0,B23,Normal,1. e4 c5 2. Nc3 e6 3. e5 d5 4. exd6 Bxd6 5. Nf3 Nf6 6. Bb5+ Nc6 7. d4 cxd4 8. Nxd4 O-O 9. Nxc6 bxc6 10. Bxc6 Rb8 11. Nb5 Qb6 12. Qxd6 Qa5+ 13. Bd2 Qa6 14. Qxb8 Qxc6 15. O-O-O Bb7 16. Qxa7 Qxb5 17. Bg5 Qxg5+ 18. Kb1 Qxg2 19. Rhe1 Be4 20. a3 Nd5 21. Re3 Nxe3 22. Qxe3 f5 23. Qb3 Qxf2 24. Qxe6+ Kh8 25. Qe7 Rg8 26. Rd8 Qe1+ 27. Ka2 Bd5+ 28. b3 Qxe7 0-1,,,
Rated Blitz game,https://lichess.org/jpmSLrzP,2018.11.14,-,HushPuppies,Schrodinger12,0-1,2018.11.14,02:38:52,1218,1230,-15,+10,Standard,300+3,D00,Normal,1. d4 d5 2. Bf4 c5 3. c3 Nc6 4. e3 e6 5. Bd3 Bd6 6. Nh3 Nf6 7. O-O e5 8. dxe5 Nxe5 9. Bxe5 Bxe5 10. b3 Bxh3 11. gxh3 O-O 12. f4 Bc7 13. Nd2 Re8 14. Qf3 b6 15. c4 Rb8 16. e4 dxc4 17. bxc4 g6 18. e5 Nh5 19. Rad1 Qh4 20. Ne4 Rbd8 21. Nf6+ Nxf6 22. exf6 Qxf6 23. Kh1 a5 24. Rg1 Bxf4 25. Qh5 Qc6+ 26. Rg2 Re5 27. Qg4 Bh6 28. Qh4 Rg5 29. Rg1 Rxg2 30. Rxg2 Be3 31. Be4 Qe6 32. Qxd8+ Kg7 33. h4 Qxe4 34. h5 Qb1+ 35. Rg1 Qxg1# 0-1,,,
Rated Blitz game,https://lichess.org/RbWbInwN,2018.11.14,-,richguy,HushPuppies,1-0,2018.11.14,02:34:11,1149,1239,+13,-21,Standard,300+3,B30,Normal,1. e4 c5 2. Nf3 Nc6 3. Nc3 Nf6 4. a3 e5 5. b4 b6 6. Bb5 Bd6 7. O-O O-O 8. Bxc6 dxc6 9. bxc5 Bxc5 10. Ne2 Nxe4 11. Nxe5 Qf6 12. Nf3 Bg4 13. Rb1 Bxf2+ 14. Rxf2 Nxf2 15. Kxf2 Rfe8 16. Ng1 Re6 17. Bb2 Rae8 18. Bxf6 Re2+ 19. Nxe2 Bxf3 20. gxf3 1-0,,,
Rated Blitz game,https://lichess.org/IfEClU5m,2018.11.13,-,HushPuppies,ibodgn123,1-0,2018.11.13,19:53:21,1221,1236,+18,-11,Standard,300+3,B06,Time forfeit,1. d4 g6 2. e4 d6 3. Nc3 Bg7 4. f4 e6 5. e5 dxe5 6. fxe5 f6 7. Bb5+ Bd7 8. Bxd7+ Qxd7 9. Nf3 Nc6 10. Be3 O-O-O 11. a4 Kb8 12. a5 a6 13. O-O Nb4 14. Nd2 fxe5 15. Ra4 exd4 16. Rxb4 dxe3 17. Qf3 c6 18. Qxe3 Qxd2 19. Qxd2 Rxd2 20. Rbf4 Nf6 21. g4 h6 22. h4 h5 23. g5 Nd7 24. Rf7 Ka7 25. Rxg7 Rxc2 26. Rxd7 Rxb2 27. Rff7 Rb8 28. Rfe7 Rc2 29. Rd3 Rc1+ 30. Kg2 Rc2+ 31. Kf3 Ra2 32. Nxa2 1-0,,,
Rated Blitz game,https://lichess.org/3J4Jhlyk,2018.11.13,-,HushPuppies,freetimeflow,1-0,2018.11.13,04:36:10,1197,1330,+24,-14,Standard,300+3,D00,Normal,1. d4 d5 2. Bf4 Nf6 3. h3 c5 4. e3 Bf5 5. c3 Nc6 6. Bd3 Bg6 7. Bxg6 hxg6 8. Nf3 e6 9. O-O Bd6 10. Qb3 b6 11. Qb5 Rc8 12. Qa6 Bxf4 13. exf4 Ne4 14. Ne5 Nxe5 15. fxe5 Qc7 16. Na3 cxd4 17. Nb5 Qc4 18. f3 Ng3 19. Nd6+ Kd7 20. Nxc4 dxc4 21. Rfd1 d3 22. Qxa7+ Kc6 23. Qxf7 Rc7 24. Qxe6+ Kb7 25. b3 Ne2+ 26. Kh2 Nxc3 27. bxc4 Nxd1 28. Rxd1 Rd8 29. Qxg6 b5 30. Rxd3 Rxd3 31. Qxd3 bxc4 32. Qe4+ Kb6 33. e6 Re7 34. Qxc4 g5 35. a4 Rc7 36. Qb5+ Ka7 37. Qa5+ Kb7 38. Qb4+ Ka7 39. e7 Rc8 40. Qb5 g4 41. fxg4 Re8 42. Qxe8 Ka6 43. Qb5+ Ka7 44. g5 Ka8 45. e8=Q+ Ka7 46. Qeb8# 1-0,,,
Rated Blitz game,https://lichess.org/rCDVgJ39,2018.11.12,-,marcellomaestri45,HushPuppies,1-0,2018.11.12,04:16:08,1315,1210,+7,-13,Standard,300+3,D00,Normal,1. d4 d5 2. Bf4 c6 3. e3 Nf6 4. Nd2 h6 5. h3 e6 6. Ngf3 Bd6 7. Ne5 O-O 8. Ndf3 Nbd7 9. Bd3 Bxe5 10. Nxe5 Nxe5 11. Bxe5 Ne4 12. Bxe4 dxe4 13. Qg4 f6 14. Bg3 e5 15. Qxe4 f5 16. Qxe5 Bd7 17. O-O-O Qf6 18. Qxf6 Rxf6 19. Be5 Rf7 20. f4 b6 21. Rdg1 g5 22. g4 gxf4 23. exf4 Kh7 24. gxf5 Bxf5 25. h4 Rd8 26. Rh2 c5 27. c3 b5 28. Rhg2 Rdd7 29. Rg8 Rg7 30. R8xg7+ Rxg7 31. Rxg7+ Kh8 32. Rxa7+ Kg8 33. Rb7 Kf8 34. Rxb5 Bd7 35. Rxc5 Ke7 36. Rc7 Ke6 37. Rxd7 Kxd7 38. a4 Kc6 39. f5 1-0,,,
Rated Blitz game,https://lichess.org/1Bng6rqE,2018.11.12,-,HushPuppies,Megariotis,1-0,2018.11.12,04:05:30,1201,1001,+9,-19,Standard,300+3,C00,Normal,1. e4 e6 2. d4 Ne7 3. c3 f5 4. e5 g5 5. Bxg5 h6 6. Bh4 h5 7. Nf3 d6 8. Bb5+ Bd7 9. Bc4 dxe5 10. dxe5 b5 11. Bb3 Ng6 12. Bxd8 Kxd8 13. h3 1-0,,,
Rated Bullet game,https://lichess.org/9CuoDnRA,2018.11.12,-,theoliverATOM,HushPuppies,0-1,2018.11.12,01:05:43,930,964,-12,+25,Standard,120+1,C50,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 h6 5. O-O Nf6 6. Bg5 hxg5 7. Nxg5 Be6 8. Bxe6 fxe6 9. Qf3 Qe7 10. Re1 O-O-O 11. Nc3 g6 12. Nb5 Kb8 13. c4 a6 14. Nxc7 Kxc7 15. Rec1 Bh6 16. Nxe6+ Qxe6 0-1,,,
Rated Blitz game,https://lichess.org/5Q7XvzKn,2018.11.12,-,HushPuppies,Egozkue,1-0,2018.11.12,00:03:17,1186,1108,+15,-8,Standard,300+3,B01,Normal,1. e4 d5 2. Nc3 d4 3. Nce2 e5 4. d3 Nf6 5. f4 Bg4 6. h3 Bxe2 7. Nxe2 exf4 8. Nxf4 Bd6 9. Qe2 Bxf4 10. Bxf4 Nc6 11. a3 O-O 12. O-O-O b6 13. g4 a5 14. h4 Qd7 15. Bh3 Rfe8 16. g5 Qe7 17. gxf6 Qxf6 18. Bg5 Qe5 19. Bd7 Re6 20. Bxe6 Qxe6 21. Rdf1 b5 22. Rhg1 b4 23. a4 Ne5 24. Bf4 Nc6 25. h5 Ne7 26. h6 Qxh6 27. Bxh6 1-0,,,
